,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,best_node.mean,best_node.sd,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,elite_nn.mean,elite_nn.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,linear_discr.mean,linear_discr.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,naive_bayes.mean,naive_bayes.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,one_nn.mean,one_nn.sd,p_trace,random_node.mean,random_node.sd,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,w_lambda,worst_node.mean,worst_node.sd
1043_ada_agnostic,0.0080764674796104,0.0684506714931517,0.0022769902686268,0.4875749999145469,0.0367919307087534,0.5613029212116319,0.0029082980142282,0.0,0.0,0.0,0.0872422767064773,0.1480705673261559,0.7484778065153455,0.0563463843129202,0.2313247001141398,4.780246543992778e-22,1.1369182526794048e-21,7.776979989042631e-34,7.259017295501222e-34,0.6914250875859518,0.0036061469497147,0.0010627248558704,0.0,0.5463919390752875,4.7291383007461757e-17,5.2731723905921945e-17,1.882885262858696e-15,1.575545269801357e-16,1.7782806357004167e-16,0.0011445418505169,1.5772240555013002e-17,1.8168124443440922e-17,0.0210343040960234,0.4740141726441134,0.0297839897993461,0.118936448560787,0.1074215761285386,0.6414972310926068,0.3280936717566111,0.0025357341587257,0.0125172440903379,1.004283213222471e-06,2.5268090107726147e-06,0.0,0.0556818181818182,0.0,0.7122972002884718,0.0471034479204251,1.4247135522270066e-17,1.5434213136685885e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044536829429719,0.1085202734457504,0.5605699361001746,0.1010774030703891,0.1074215761285386,0.025163415897759,0.2743006956221561,0.08007992007992,0.0686153138477535,0.0258754343758353,0.0817469141607686,0.0464876033057851,0.3014705882352941,0.0,0.0,0.0083256244218316,0.0,0.0145949511794375,0.0,0.0464876033057851,0.077490774907749,0.0007176076676715,0.0,0.6747437438042267,0.0727079188606959,0.0,0.5627269385123628,0.0026018681840161,0.0,0.0,0.0,0.0,0.0,0.0,0.1613066350671024,0.2725231387935002,0.8783921286657103,0.3250881914565397,1.6517756270888385e-11,4.0649106006747405e-17,0.6296914737842629,0.3139569376678989,0.0187656029262546,0.3582046239430563,0.0123904171878943,0.1798744553661543,0.0,0.0,0.0405749956040091,0.0828754934735109,0.0,0.5955593862131268,0.0031223826361979
1460_banana,0.0188181789268055,0.0,0.6555530137152145,0.0002142950349174,0.0013054425151213,0.268794773186303,0.0897519869497422,0.0,0.0,0.0,0.0310114138363254,0.0260792020150058,0.9898629661973743,0.1903008168441764,0.0,6.1498892917485266e-24,0.0,4.422937554624098e-37,3.57141735040252e-38,0.4138793220572916,0.1522244164997047,0.0002691104960544,0.0,0.1121538609686586,0.0,0.0,1.8689239846726144e-18,0.0,0.0,0.0323990815687974,2.024781088136341e-18,5.320007171643777e-20,0.7195770651369938,0.0453204984769009,0.0001298091886021,3.689378087699194e-05,0.0931905126243305,0.523894598726912,0.3217833566139975,0.0029682798277435,0.0151869473600804,2.0563893060403373e-06,6.347211062591073e-06,0.0,0.0160392798690671,0.0,0.2309647733603581,0.1170003403324162,2.2523580361449385e-18,6.197273220593021e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1877623172411263,0.261547375544498,0.3784838321876013,0.0782602715022741,0.0931905126243305,0.5133060179210719,0.2048028085487992,0.0649782649782649,0.0770400921712501,0.5124904214559387,0.0701113890973992,0.0,0.0,0.0,0.0,0.0,0.0,0.0176188349442957,0.0,0.0,0.0018450184501845,0.0011872784398728,0.0,0.8341421040626642,0.0530556113090104,0.0,0.2408019169977602,0.0684255325186406,0.0,0.0,0.0,0.0,0.0,0.0,0.0675323509291348,0.0018738996507215,0.0006141059153387,6.239900970730421e-05,1.6517719481783244e-11,9.868328405714594e-21,0.5089781575216987,0.3078258571002569,0.0182130005411301,0.2916466434214175,0.0195604184297019,0.1500028305223056,0.0,0.0,1.0,0.4258725240235984,0.0,0.2755386643439097,0.0979131517284945
1462_banknote-authentication,0.0791405572098185,0.1478765163343494,0.5368790578298676,9.117655750069152e-06,0.0103801777713116,0.7396767342151006,0.1512968693109915,0.0,0.0,0.0,0.1045258284541904,0.096218055118812,0.9883588497891748,0.4275968969975994,0.545446334165073,2.165009918178667e-22,5.20864680141302e-23,7.245400439883501e-36,3.0064733984091755e-36,0.7434124130212967,0.2740695511599583,7.609317026392701e-05,0.0,0.1201708178113247,0.0,0.0,7.386633828812412e-17,0.0,0.0,0.004155436478343,6.4066862126816616e-18,8.983521856896612e-19,0.5720141500069226,0.1252527060429933,0.0002399752989426,0.0001118363202621,0.0038255547054322,0.1881329973815523,0.0787265940695488,0.0737906996514494,0.1495834969238494,3.601999267102896e-14,6.454023103963682e-15,0.0,0.1555555555555556,0.0,0.959663198618554,0.0478296288745581,7.013837928152885e-18,1.1134571512720073e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4588222654037404,0.7255231425691305,0.7445103265667545,0.149587889030118,0.0038255547054322,0.0109295041970352,0.0334954722691241,0.0113886113886113,0.0067696418978967,0.0092720306513409,0.0077069395015639,0.0020661157024793,0.0,0.0,0.0,0.3333333333333333,0.0,0.0015242340928553,0.0,0.0020661157024793,0.003690036900369,0.0003081908617486,0.0,0.9999999999999998,0.0034886931017545,0.0,0.3017721793995553,0.0198089132804754,0.0,0.0,0.0,0.0,0.0,0.0,0.0647169944217746,0.0163814396575661,0.0001404958339,9.844303384430403e-05,1.6517720258902582e-11,4.2133590094463507e-19,0.169171071676244,0.0707209486586069,0.2979317312078939,0.6952970887507358,0.3026340208207281,0.6069857226811932,0.0,0.0,0.4989669421487602,0.5623367682256082,0.0,0.2155277390621965,0.0061707164473926
1466_cardiotocography,0.0418158081786424,0.1887925893951591,0.2850234133057047,0.8252120027222284,0.0588177055109584,1.0,0.0,0.0,0.0,0.0,0.2011991516579234,0.6731830797213341,0.7963633579375997,0.1673354689102419,0.4545379129919353,4.5545353248871633e-20,2.509939485402797e-19,2.114152270214255e-32,3.6506552896993116e-32,0.9999999999999998,0.0,0.0002685574653654,0.0,0.4938802249466169,0.0,0.0,5.900264868195229e-16,0.0,0.0,0.0006998792320913,1.1452628408093414e-16,1.2652470096879256e-16,0.3100746770907658,0.8279880696348679,0.0022103065690154,0.0064256578844019,0.0,0.0,0.0,1.0,0.6579503742783362,0.0,0.0,0.0,0.0,0.0,0.8560168071372793,0.2145803243232686,9.607977971423212e-17,1.0338770846016264e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601198232385694,0.4835443356280298,1.0,0.0,0.0,3.80679339585096e-05,0.0005680419900592,0.0,0.0,0.0,0.0,0.034090909090909,0.0808823529411764,0.0,0.0,0.053781512605042,0.0,0.0046136763133202,0.0,0.034090909090909,0.0461254612546125,0.00066307512327,0.0,0.5620803609109715,0.158111328444144,0.0,0.5130791336561749,0.0051091927239685,0.0,0.0,0.0,0.0,0.0,0.0,0.0973657021030154,0.0640366903892696,0.3739927008592421,0.4504078905516717,1.6517823580728978e-11,9.219231595663576e-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0551948051948051,0.3893824978220014,0.0,0.548738041099627,0.0061814705021815
1475_first-order-theorem-proving,0.1599520843782056,0.5526355592939995,0.5150378487447066,0.5442155988069091,0.0297610882710292,0.3151487125012983,0.2657045539378034,0.0,0.0,0.0,0.0354003959017595,0.0295194228007451,0.9740857406657656,0.2389272141876577,0.5893972257586696,7.549894757811977e-24,1.661737447353969e-24,4.38017377575176e-37,3.0173419143153866e-37,0.4398165183495056,0.3154192921217583,0.0004837216725653,0.0,0.1790694259148037,0.0,0.0,1.3213448797128844e-17,0.0,0.0,0.001424859777391,8.341913510084827e-19,1.8286141654096124e-19,0.5788021075637719,0.5328364723728054,0.0258272850071358,0.0720893255207846,0.11920428462127,0.5706539654272293,0.2600557419630591,0.0022555588101888,0.0064022845216383,8.20458797302403e-08,2.803437278827701e-07,0.0,0.0089628681177977,0.0,0.4242642557026685,0.271799306194445,5.933896946461408e-19,1.6485493582250405e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1118960500440364,0.069961419002675,0.3898679384441788,0.1584784696124694,0.11920428462127,0.0257300340623901,0.2268938674571581,0.098076923076923,0.0904656429622962,0.0240973630831643,0.0306503631842672,0.0506198347107438,0.0,0.0,0.0,0.1270588235294117,0.0,0.0209705109871874,0.0,0.0506198347107438,0.084870848708487,0.0016883875734474,0.0,0.691010022241551,0.3687188445103114,0.0,0.1387055877319176,0.2194478474449576,0.0,0.0,0.0,0.0,0.0,0.0,0.1630903747422496,0.2102131611628407,0.0134733730880449,0.0218078764523564,1.6517719342686016e-11,6.309987728559262e-20,0.556886357128251,0.246356030291514,0.029376384662568,0.3129854668958572,0.0136467302332039,0.1473581162438975,0.0,0.0,0.0372305947172257,0.0201760675637464,0.0,0.2854343092271032,0.1071405251914799
1479_hill-valley,0.9521824788189768,0.0781740508060125,0.5108853337965217,6.078042637121537e-06,0.2949574030676861,0.136495369713079,0.1266172869131094,0.0,0.0,0.0,0.0037037753204396,0.0003607927565372,1.0,0.9965895799516192,0.0079055270121513,1.0436101944098366e-14,3.2809785858863287e-17,1.4333932019224662e-28,4.2871803054623055e-28,0.384355846950763,0.1737628109039332,0.0048451715039087,0.0,0.0,4.56381071133878e-16,3.506557867607646e-19,1.1518171677037658e-13,6.088465067244831e-17,1.229509024666798e-19,0.0001046097390585,6.566582775003687e-15,3.1815363615846766e-17,0.5873903413552211,0.0004566524748256,0.0012943776319562,6.442628912967171e-05,0.0290742157612853,1.0,1.0,0.0101138102524866,0.0089306216363744,1.0,1.0,0.0,0.0145833333333333,0.0,0.4221439943324576,0.1555409211116691,8.101768362275066e-16,4.122333413279102e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125443621398603,0.0030708467575844,0.206846191571941,0.0847632542292029,0.0290742157612853,0.0032045186091179,0.280522102684367,0.0103750794659885,0.0089316024183767,0.0019731800766283,0.0031042727400693,0.1012396694214876,0.0,0.0,0.0,1.0,0.0,0.0008686495367885,0.0,0.1012396694214876,0.1845018450184501,0.0161308790571141,0.0,0.4536346294210403,0.1596474547332361,0.0,0.0766730633722214,0.1233152527712947,0.0,0.0,0.0,0.0,0.0,0.0,0.1052865873572523,0.0009505037396939,6.133430000280536e-05,7.421257351831093e-06,1.651925296706162e-11,2.484032454563194e-18,1.0,1.0000000000000002,0.0,0.3282253131330822,0.0435481373722183,0.3439783343097869,0.0,0.0,0.0179752066115702,0.0009673921383407,0.0,0.1275983916884117,0.1659265616811844
1485_madelon,0.0049959300202445,0.0023969603663351,0.5656583290495585,0.1857315934527311,0.6875358877579658,0.3152520676538143,0.0825544491129793,0.0,0.0,0.0,0.0018012369037828,0.0018710902267845,1.0,0.0161122662427626,0.0543694922697397,3.9245211519201e-22,8.721539263388171e-22,4.024875789513404e-34,3.992541482013606e-34,0.3873022850963185,0.2026023102542346,0.0073359060562064,0.0,0.0,7.167752677534211e-16,1.0571322077591764e-17,9.30887471298626e-16,2.5918718091781625e-15,3.817400313960657e-17,1.989104637278566e-05,4.149600438984999e-17,9.25374789834229e-18,0.6444191569103995,0.1836486797087386,0.0002335920761249,2.3397682912470707e-05,0.0287681713848508,0.3533921508974749,0.1659321187248741,0.010223492932791,0.0278111099320319,1.0674826224339112e-11,1.0069612816448404e-11,0.0,0.0147368421052632,0.0,0.240451908756389,0.1721780275590766,4.6199820984049775e-17,1.0267609216412746e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082974628183207,0.0150939436040963,0.3532377273870227,0.0915393966709476,0.0287681713848508,0.0006261574063533,0.1292516922668856,0.0424516659810777,0.0340983592154736,0.0006743295019157,0.0023883686901649,0.5144628099173554,0.0,0.0,0.0,0.0003927855711422,0.0,0.0065558455606682,1.0,0.5144628099173554,0.8985239852398523,0.026548678735907,0.0,0.5404330885602275,0.0875489229590228,0.0,0.0422037788204807,0.0491356854779744,0.0,0.0,0.0,0.0,0.0,0.0,0.0666950757317484,0.001012086838164,0.0285372072793938,0.0485938811574348,1.651825461859952e-11,3.2511229527886923e-18,0.3346680197963625,0.1542328598449618,0.0921981046635319,0.5164505686828899,0.0660201356698868,0.2181676666012101,0.0,0.0,0.0019421487603305,0.0008784672503641,0.0,0.0979742034052459,0.1178783664061095
1489_phoneme,0.0647098677324687,0.1046648496806285,0.6439402160106029,0.0781221727408777,0.0032643478674862,0.5645527963046063,0.0759993625259926,0.0,0.0,0.0,0.0462435559327476,0.0166469310756994,0.8335972371689675,0.1266730617397161,0.2937143420535812,4.0939665442638636e-24,8.432735549510185e-25,4.423298564579767e-37,4.84988375369612e-38,0.6534356540179229,0.1150547821780275,0.0001152713616255,0.0,0.4480107036538371,0.0,0.0,1.3997776736964193e-17,0.0,0.0,0.0131880161696032,1.5796793260255257e-18,1.4986770886742898e-19,0.6729595137463873,0.0899501386086831,0.0002626392396523,0.000149714686791,0.080336648814078,0.4864704785512938,0.2230458208344679,0.0034901834959617,0.0190837672154765,1.690457801551365e-09,4.0706250989193135e-09,0.0,0.0345351043643263,0.0,0.5820827042528767,0.0584083628684252,1.6083638617855752e-18,1.832991064828574e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124819759014782,0.1789663821914915,0.6150474075017645,0.0486941766395378,0.080336648814078,0.1770419393881991,0.1731601097426954,0.0806885422270037,0.0713726052722106,0.1756628352490422,0.0197839631498068,0.003099173553719,0.0,0.0,0.0,0.0,0.0,0.0180449649057392,0.0,0.003099173553719,0.007380073800738,0.0006383796382503,0.0,0.8745264905505805,0.0190229443783137,0.0,0.5664971261650391,0.067991767829325,0.0,0.0,0.0,0.0,0.0,0.0,0.0764085418502901,0.0102149115378767,1.9403845008974045e-05,3.098236679484252e-05,1.6517719338363235e-11,3.0954560410305293e-20,0.4706151230476379,0.2098778766953191,0.043388728410994,0.3220195033457847,0.0223392692698017,0.1660308466555217,0.0,0.0,0.3987603305785124,0.2007463248764947,0.0,0.5715550157804838,0.043407064137461
1494_qsar-biodeg,0.0491493544014388,0.2822026648279163,0.2460950774339199,0.6962339712653435,0.1389059766332908,0.5410429132271432,0.4196222213736058,0.0,0.0,0.0,0.102101473104495,0.0722483457088828,0.8981104203812589,0.1661520030175541,0.4853270361118808,1.5305801866611382e-23,1.386198282224992e-23,3.510900212754068e-36,3.723661905574583e-36,0.6109623720826725,0.2444351815276553,0.0003358033923558,0.0,0.35265593775716,0.0,0.0,6.267683359846012e-17,0.0,0.0,0.0002712522317063,1.8160850202282798e-18,1.059276643998943e-18,0.2863581739235391,0.6744519352883319,0.0052127693637759,0.0155430845644176,0.0185156847742922,0.3459965946924921,0.1708176840695118,0.0159590945565155,0.0445342982688106,5.802623105973543e-12,5.7488783455223945e-12,0.0,0.0113821138211381,0.0,0.7375488807726365,0.2882956050625406,1.198690234913339e-18,9.098876522312989e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1449130684014911,0.17279425937744,0.5457178880785576,0.1415408511395529,0.0185156847742922,0.0049979434475052,0.2057747178243135,0.0259152612093788,0.0201540269637962,0.0049487084414781,0.0074621567476103,0.0402892561983471,0.0220588235294117,0.0,0.0,0.0597560975609756,0.0,0.0002253571911479,0.0,0.0402892561983471,0.0756457564575645,0.000661383709605,0.0,0.715137486477482,0.1898983821890309,0.0,0.4944250422643745,0.3398030324693296,0.0,0.0,0.0,0.0,0.0,0.0,0.1155791257880853,0.0886436835956581,0.2074501342825178,0.2866365971560324,1.6517722092094378e-11,1.9775678122745897e-18,0.3276968374661134,0.1575116789827998,0.0854195830432765,0.4744246760453325,0.0854955740351206,0.3506430739796684,0.0,0.0,0.0468151582342269,0.0858947127911999,0.0,0.4228413018135843,0.0166938513196654
1496_ringnorm,0.003993518055202,0.0008966876448907,0.6859455359206647,7.93208104874886e-06,0.0096195112832079,0.3066695162056899,0.0516141482323732,0.0,0.0,0.0,0.0347779904444897,0.0017152660399027,0.9999103947481804,0.0176108540235182,0.0326291202479032,1.2860899775660807e-18,2.1150511764336445e-19,9.998177467772082e-31,2.974972603888842e-32,0.4897999153571218,0.0988745998890592,0.0001826857191141,0.0,0.0105538354077825,0.0,0.0,2.0150179136746205e-14,0.0,0.0,0.0044859862908451,1.9799043729204925e-15,1.104733478564458e-17,0.7461858863334508,0.0044040737573355,0.0003935722228442,1.4244972990344674e-05,0.0650344299923488,0.6315874971233638,0.6402187510661621,0.0043792298361014,0.0346123333498878,0.029074274938548,0.0681065189381901,0.0,0.298360655737705,0.0,0.5882470635199946,0.0732099511837902,2.2349066115114477e-15,1.4017607679806022e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2573477042522025,0.0259110344990647,0.9671956399891666,0.0216480125743981,0.0650344299923488,0.0358379544587295,0.1023027243076284,0.0308515014397367,0.0399716390956662,0.0342222222222222,0.0102077387345658,0.018595041322314,0.0,0.0,0.0,0.0,0.0,0.0262233822426728,0.0,0.018595041322314,0.03690036900369,0.0008622681602992,0.0,0.6710970102163696,0.04773931935643,0.0,0.2534678577960523,0.0436353703327223,0.0,0.0,0.0,0.0,0.0,0.0,0.0632239483070298,0.0008148334435407,0.000262535550485,4.366941304893196e-06,1.6517984118564994e-11,3.5096334660796544e-18,0.6198535665507683,0.6318767072071649,0.0071631912283047,0.3015332500243707,0.0280702590990467,0.1788472135537317,0.0,0.0,0.0981404958677686,0.0586302769775908,0.0,0.3067817391876308,0.066933144689827
