V1,V2,V3
428.0,221.0,0.403955
166.0,397.0,0.488407
586.0,735.0,0.685976
886.0,969.0,0.721785
815.0,594.0,0.373362
957.0,412.0,0.518242
499.0,564.0,0.432403
414.0,805.0,0.546711
693.0,886.0,0.529251
569.0,17.0,0.404846
282.0,25.0,0.408177
69.0,27.0,0.41876
196.0,27.0,0.354457
745.0,26.0,0.387354
370.0,30.0,0.439642
491.0,39.0,0.406929
916.0,34.0,0.370558
378.0,44.0,0.396133
935.0,44.0,0.365242
797.0,52.0,0.46134
992.0,48.0,0.360972
37.0,54.0,0.37122
479.0,62.0,0.441798
42.0,62.0,0.350077
377.0,82.0,0.377866
538.0,85.0,0.372869
27.0,92.0,0.400615
394.0,97.0,0.420898
212.0,100.0,0.359569
327.0,102.0,0.355948
88.0,106.0,0.359035
282.0,107.0,0.387446
858.0,106.0,0.393756
518.0,108.0,0.351582
883.0,122.0,0.36925
952.0,129.0,0.384816
828.0,133.0,0.357409
917.0,138.0,0.370266
970.0,140.0,0.367742
17.0,158.0,0.392553
917.0,165.0,0.373479
530.0,168.0,0.364314
23.0,175.0,0.552354
666.0,172.0,0.350159
213.0,181.0,0.39055
254.0,192.0,0.36862
443.0,198.0,0.368862
932.0,196.0,0.350632
772.0,202.0,0.357154
998.0,205.0,0.379541
657.0,208.0,0.361602
19.0,220.0,0.354983
672.0,220.0,0.355367
575.0,223.0,0.366596
426.0,238.0,0.351413
396.0,247.0,0.385582
408.0,250.0,0.364492
307.0,258.0,0.399101
453.0,260.0,0.392126
44.0,270.0,0.352916
244.0,279.0,0.409962
59.0,285.0,0.372102
396.0,291.0,0.362213
188.0,298.0,0.3511
76.0,303.0,0.385856
568.0,308.0,0.406364
843.0,312.0,0.380299
84.0,314.0,0.38333
374.0,324.0,0.493547
100.0,325.0,0.377498
838.0,328.0,0.364404
62.0,360.0,0.387274
182.0,365.0,0.416992
671.0,361.0,0.366543
288.0,373.0,0.370174
588.0,372.0,0.357813
624.0,376.0,0.354115
709.0,378.0,0.375794
885.0,382.0,0.403078
221.0,390.0,0.40098
218.0,400.0,0.362644
403.0,402.0,0.42366
51.0,405.0,0.379676
584.0,405.0,0.388616
106.0,408.0,0.363443
907.0,428.0,0.380883
956.0,462.0,0.357466
206.0,477.0,0.366938
824.0,476.0,0.350839
841.0,481.0,0.384274
79.0,491.0,0.452699
844.0,491.0,0.364738
758.0,492.0,0.357017
141.0,499.0,0.372151
182.0,500.0,0.383813
363.0,505.0,0.410863
857.0,511.0,0.381614
883.0,520.0,0.363421
892.0,524.0,0.357585
910.0,527.0,0.447678
954.0,531.0,0.444997
389.0,536.0,0.429724
358.0,543.0,0.383438
143.0,566.0,0.381211
258.0,562.0,0.363635
264.0,575.0,0.386357
882.0,575.0,0.371358
156.0,577.0,0.360836
888.0,578.0,0.372456
944.0,578.0,0.373985
591.0,591.0,0.374716
163.0,599.0,0.352855
817.0,634.0,0.351269
362.0,654.0,0.373668
308.0,657.0,0.424322
436.0,665.0,0.378846
869.0,672.0,0.360034
781.0,706.0,0.386012
99.0,717.0,0.385155
401.0,746.0,0.3602
400.0,762.0,0.358814
642.0,764.0,0.359116
25.0,775.0,0.423498
665.0,779.0,0.39551
646.0,785.0,0.38703
494.0,791.0,0.377288
85.0,792.0,0.376515
518.0,793.0,0.438168
909.0,801.0,0.458112
936.0,806.0,0.353178
583.0,816.0,0.393825
28.0,828.0,0.430417
592.0,839.0,0.398185
807.0,842.0,0.378793
46.0,846.0,0.353153
832.0,846.0,0.375505
775.0,850.0,0.3707
56.0,858.0,0.4092
86.0,859.0,0.443318
